100001,4892.00,5000.00,0
100002,1252.50,5000.00,0
100003,680.00,1000.00,0
100004,450.75,2000.00,0
100005,980.20,1500.00,0
100006,5000.00,5000.00,0
100007,100.00,1000.00,0
100008,0.00,3000.00,0
100009,333.33,2500.00,0
100010,120.00,1500.00,0
100011,900.00,3000.00,0
100012,320.50,2000.00,0
100013,1000.00,4000.00,0
100014,4500.00,6000.00,0
100015,99.99,1000.00,0
100016,250.00,1500.00,0
100017,875.25,3000.00,0
100018,2200.00,4000.00,0
100019,300.00,2500.00,0
100020,0.00,1000.00,0
100021,1100.00,3500.00,0
100022,50.00,1000.00,0
100023,700.00,2000.00,0
100024,800.00,2500.00,0
100025,670.45,2000.00,0
100026,930.00,3000.00,0
100027,150.00,1500.00,0
100028,1250.75,4000.00,0
100029,480.00,1800.00,0
100030,3200.00,5000.00,0
200000,0.00,200000.00,0
200002,0.00,10000.00,0
400000,0.00,9000.00,0
900000,3.00,999.00,0
500000,0.00,2.00,0
40000,0.00,3.00,0
2323,0.00,90.00,0
7070,0.00,6.00,0
42426,0.00,78.00,0
